session_id,user_id,session_date,device,genre,watch_minutes,completed_episode
1,1,2025-09-12,mobile,fantasy,37,1
2,1,2025-09-12,web,comedy,11,0
3,1,2025-09-22,tablet,drama,30,1
4,1,2025-09-22,tablet,comedy,16,0
5,1,2025-09-22,mobile,romance,17,0
6,1,2025-09-26,web,fantasy,23,0
7,1,2025-09-29,mobile,sports,9,0
8,1,2025-09-30,web,sports,20,0
9,1,2025-10-02,mobile,romance,24,1
10,1,2025-10-02,web,sci-fi,10,0
11,1,2025-10-06,tablet,sci-fi,2,0
12,1,2025-10-06,web,drama,2,0
13,1,2025-10-06,web,sports,14,0
14,1,2025-10-10,web,fantasy,25,0
15,1,2025-10-10,tv,sports,16,0
16,1,2025-10-23,mobile,comedy,23,1
17,1,2025-10-23,mobile,romance,22,0
18,1,2025-10-26,tablet,sports,36,1
19,1,2025-10-28,tv,drama,14,0
20,1,2025-10-28,tablet,comedy,3,0
21,1,2025-11-02,web,action,27,1
22,1,2025-11-02,mobile,fantasy,19,0
23,1,2025-11-02,tv,comedy,20,0
24,1,2025-11-28,mobile,sports,17,0
25,1,2025-11-28,mobile,fantasy,18,0
26,1,2025-11-28,web,sci-fi,17,0
27,1,2025-11-29,web,action,10,0
28,1,2025-11-30,tv,sci-fi,6,0
29,1,2025-11-30,tablet,drama,21,0
30,1,2025-12-02,mobile,fantasy,21,0
31,1,2025-12-02,mobile,action,13,0
32,1,2025-12-02,web,sports,5,0
33,1,2025-12-02,mobile,comedy,6,0
34,1,2025-12-04,mobile,romance,21,1
35,1,2025-12-04,web,action,8,0
36,1,2025-12-05,mobile,comedy,3,0
37,1,2025-12-05,web,action,24,0
38,1,2025-12-09,mobile,sports,2,0
39,2,2025-10-17,mobile,action,13,0
40,2,2025-10-17,mobile,fantasy,15,0
41,2,2025-10-17,mobile,romance,11,0
42,2,2025-10-17,mobile,comedy,21,1
43,2,2025-10-19,mobile,romance,3,0
44,2,2025-10-19,tv,comedy,7,0
45,2,2025-10-27,mobile,sci-fi,19,0
46,2,2025-10-27,tv,sci-fi,17,0
47,2,2025-10-27,tv,sports,2,0
48,2,2025-10-30,tv,action,27,0
49,2,2025-10-30,web,fantasy,27,0
50,2,2025-11-01,mobile,fantasy,7,0
51,2,2025-11-01,mobile,sci-fi,20,0
52,2,2025-11-01,mobile,sports,20,0
53,2,2025-11-01,mobile,action,25,1
54,2,2025-11-01,web,action,14,0
55,2,2025-11-01,web,comedy,9,0
56,2,2025-11-02,mobile,drama,11,0
57,2,2025-11-02,mobile,sci-fi,11,0
58,2,2025-11-02,mobile,sci-fi,11,0
59,2,2025-11-02,mobile,comedy,20,0
60,2,2025-11-02,tv,sports,32,1
61,2,2025-11-05,tv,sports,24,1
62,2,2025-11-05,tv,romance,33,0
63,2,2025-11-08,tv,sports,11,0
64,2,2025-11-08,tablet,romance,19,0
65,2,2025-11-08,web,sci-fi,13,0
66,2,2025-11-08,tv,fantasy,10,0
67,3,2025-10-10,tv,fantasy,8,0
68,3,2025-10-10,web,sci-fi,16,0
69,3,2025-10-14,mobile,action,21,1
70,3,2025-10-14,web,sci-fi,26,1
71,3,2025-10-16,web,sports,11,0
72,3,2025-10-22,web,romance,16,0
73,3,2025-11-02,tv,romance,13,0
74,3,2025-11-02,mobile,comedy,40,1
75,3,2025-11-03,mobile,action,26,1
76,3,2025-11-03,tv,sports,23,1
77,3,2025-11-06,mobile,comedy,23,1
78,3,2025-11-06,web,comedy,23,1
79,3,2025-11-06,web,drama,27,1
80,3,2025-11-08,mobile,fantasy,17,0
81,3,2025-11-08,tv,comedy,15,0
82,3,2025-11-08,mobile,romance,28,1
83,4,2025-09-29,tv,fantasy,16,0
84,4,2025-10-08,mobile,fantasy,21,1
85,4,2025-10-12,tablet,romance,4,0
86,4,2025-10-28,mobile,comedy,2,0
87,4,2025-10-30,mobile,action,41,1
