user_id,signup_date,plan,country
1,2025-09-06,free,US
2,2025-10-17,free,BR
3,2025-10-10,free,US
4,2025-09-27,free,US
5,2025-09-26,basic,UK
6,2025-10-22,free,US
7,2025-09-06,free,UK
8,2025-10-12,premium,BR
9,2025-09-13,free,US
10,2025-09-06,free,US
11,2025-10-02,basic,MX
12,2025-10-29,free,UK
13,2025-10-15,free,US
14,2025-10-16,free,US
15,2025-10-14,premium,US
16,2025-10-18,free,US
17,2025-10-01,free,BR
18,2025-09-08,free,US
19,2025-10-21,free,BR
20,2025-09-28,basic,CA
21,2025-10-01,free,MX
22,2025-09-23,basic,MX
23,2025-09-11,basic,BR
24,2025-10-26,basic,CA
25,2025-10-17,free,CA
26,2025-10-09,premium,US
27,2025-09-25,basic,US
28,2025-10-20,free,US
29,2025-10-03,basic,CA
30,2025-09-27,premium,MX
31,2025-09-28,free,US
32,2025-09-14,premium,US
33,2025-09-06,free,US
34,2025-10-04,basic,BR
35,2025-10-24,premium,US
36,2025-09-04,free,US
37,2025-10-22,basic,CA
38,2025-10-20,free,BR
39,2025-09-17,basic,US
40,2025-10-08,basic,US
41,2025-09-10,free,UK
42,2025-10-16,free,BR
43,2025-10-13,free,MX
44,2025-09-22,free,US
45,2025-09-05,free,US
46,2025-10-29,free,US
47,2025-09-27,free,BR
48,2025-10-24,free,US
49,2025-10-11,basic,US
50,2025-10-17,basic,BR
51,2025-10-16,basic,UK
52,2025-09-12,free,BR
53,2025-09-22,premium,US
54,2025-09-29,basic,US
55,2025-09-30,free,US
56,2025-09-03,free,US
57,2025-10-03,basic,US
58,2025-09-10,free,US
59,2025-10-15,basic,US
60,2025-10-11,premium,CA
61,2025-10-26,free,UK
62,2025-10-15,free,US
63,2025-09-22,premium,US
64,2025-10-29,basic,US
65,2025-09-25,free,US
66,2025-09-20,premium,US
67,2025-10-25,premium,US
68,2025-09-23,basic,BR
69,2025-09-05,basic,US
70,2025-09-29,free,UK
71,2025-10-18,free,US
72,2025-09-12,basic,US
73,2025-09-28,free,US
74,2025-09-08,basic,US
75,2025-10-12,basic,US
76,2025-09-29,free,UK
77,2025-09-20,basic,US
78,2025-09-14,free,US
79,2025-10-04,premium,US
80,2025-10-11,free,US
81,2025-10-27,basic,US
82,2025-09-27,basic,US
83,2025-09-10,free,CA
84,2025-10-20,basic,US
85,2025-10-08,basic,US
86,2025-10-13,basic,MX
87,2025-09-06,basic,CA
88,2025-09-19,premium,US
89,2025-10-17,free,US
90,2025-10-20,basic,US
91,2025-09-27,free,US
92,2025-10-19,basic,US
93,2025-10-21,basic,BR
94,2025-09-24,free,US
95,2025-10-24,free,BR
96,2025-09-18,premium,US
97,2025-09-15,free,CA
98,2025-10-11,basic,CA
99,2025-10-09,free,US
100,2025-09-09,premium,US
101,2025-10-20,free,US
102,2025-09-12,free,CA
103,2025-10-19,premium,US
104,2025-09-01,premium,US
105,2025-10-18,free,US
106,2025-10-18,free,BR
107,2025-10-17,basic,US
108,2025-10-10,premium,US
109,2025-09-29,free,UK
110,2025-10-13,basic,US
111,2025-09-17,basic,CA
112,2025-10-17,basic,US
113,2025-10-04,basic,US
114,2025-09-28,basic,CA
115,2025-10-01,free,MX
116,2025-10-05,premium,MX
117,2025-09-03,premium,US
118,2025-09-09,basic,US
119,2025-09-15,free,US
120,2025-09-07,free,US
121,2025-09-27,basic,US
122,2025-10-11,free,US
123,2025-10-10,premium,US
124,2025-09-29,free,US
125,2025-10-22,basic,US
126,2025-10-04,premium,US
127,2025-09-05,free,CA
128,2025-10-16,free,MX
129,2025-10-05,basic,US
130,2025-10-09,basic,MX
131,2025-10-04,free,CA
132,2025-10-04,basic,US
133,2025-09-06,premium,US
134,2025-10-04,free,US
135,2025-10-18,free,US
136,2025-09-19,free,BR
137,2025-10-07,free,UK
138,2025-09-02,free,US
139,2025-09-21,free,BR
140,2025-09-27,basic,US
141,2025-10-29,free,US
142,2025-09-13,premium,BR
143,2025-09-17,free,US
144,2025-09-25,free,US
145,2025-10-30,basic,US
146,2025-10-22,premium,UK
147,2025-09-03,free,US
148,2025-09-15,free,US
149,2025-10-20,free,US
150,2025-09-04,basic,US
151,2025-10-22,free,US
152,2025-09-17,free,BR
153,2025-10-26,free,BR
154,2025-09-18,free,CA
155,2025-09-27,premium,CA
156,2025-10-10,basic,US
157,2025-09-08,free,US
158,2025-10-04,free,US
159,2025-10-01,free,US
160,2025-10-18,free,UK
161,2025-10-30,basic,MX
162,2025-10-10,premium,UK
163,2025-09-25,premium,US
164,2025-09-25,premium,US
165,2025-09-26,premium,US
166,2025-10-19,premium,US
167,2025-09-20,free,US
168,2025-09-11,free,US
169,2025-09-21,free,US
170,2025-09-02,basic,UK
171,2025-09-07,free,US
172,2025-09-06,basic,US
173,2025-10-17,basic,BR
174,2025-10-14,basic,US
175,2025-10-12,free,UK
176,2025-09-28,free,BR
177,2025-10-14,free,US
178,2025-09-10,premium,MX
179,2025-10-25,basic,MX
180,2025-10-01,basic,BR
181,2025-10-27,free,CA
182,2025-09-10,free,BR
183,2025-09-30,free,US
184,2025-10-12,basic,US
185,2025-09-30,basic,MX
186,2025-09-27,free,UK
187,2025-09-10,premium,US
188,2025-09-23,free,MX
189,2025-09-15,premium,US
190,2025-09-19,free,BR
191,2025-10-12,free,UK
192,2025-10-08,basic,US
193,2025-10-07,free,US
194,2025-09-22,free,US
195,2025-10-28,free,US
196,2025-09-06,free,US
197,2025-09-21,basic,US
198,2025-09-08,premium,US
199,2025-09-21,premium,US
200,2025-10-28,free,US
201,2025-09-22,basic,MX
202,2025-10-25,free,BR
203,2025-09-30,free,MX
204,2025-10-12,free,BR
205,2025-09-28,premium,MX
206,2025-09-16,premium,US
207,2025-10-16,basic,MX
208,2025-10-29,basic,US
209,2025-09-16,free,US
210,2025-10-17,basic,US
211,2025-09-16,basic,CA
212,2025-10-14,free,MX
213,2025-10-18,free,US
214,2025-09-27,free,US
215,2025-10-15,premium,US
216,2025-09-17,free,BR
217,2025-09-05,premium,CA
218,2025-09-06,free,US
